Depth ice/snow [m]	Gas age [ka BP]	δ13C CO2 [‰ PDB]	δ13C std e [±]	δ15N-N2 [‰ air]	δ15N std dev [±]	Core	Repl [#]	Flag [#]	Reference
192.200	1.498	-6.93		0.33		Talos Dome	1	1	this study (sublimation)
385.200	4.606	-6.42		0.32		Talos Dome	1	0	this study (sublimation)
486.145	6.638	-6.32		0.30		Talos Dome	1	0	this study (sublimation)
673.785	11.050	-6.87		0.36		Talos Dome	1	1	this study (sublimation)
881.625	21.260	-6.61		0.35		Talos Dome	1	0	this study (sublimation)
887.425	21.908	-6.52		0.33		Talos Dome	1	0	this study (sublimation)
889.945	22.189	-6.57		0.33		Talos Dome	1	0	this study (sublimation)
896.625	22.900	-6.51		0.35		Talos Dome	1	0	this study (sublimation)
912.885	24.847	-6.59		0.36		Talos Dome	1	0	this study (sublimation)
919.425	25.554	-6.48		0.35		Talos Dome	1	0	this study (sublimation)
922.605	25.931	-6.12		0.36		Talos Dome	1	1	this study (sublimation)
928.905	26.659	-6.16		0.34		Talos Dome	1	1	this study (sublimation)
934.425	27.291	-6.60		0.35		Talos Dome	1	1	this study (sublimation)
943.700	28.151	-6.36		0.39	0.015	Talos Dome	1	0	this study (sublimation)
958.630	29.514	-6.53		0.39		Talos Dome	1	0	this study (sublimation)
965.765	30.201	-6.43		0.39		Talos Dome	1	0	this study (sublimation)
973.945	31.064	-6.35		0.40		Talos Dome	1	0	this study (sublimation)
990.910	32.704	-6.40		0.44		Talos Dome	1	0	this study (sublimation)
997.625	33.343	-6.59		0.43		Talos Dome	1	0	this study (sublimation)
1262.250	34.064	-6.25	0.049	0.37	0.007	EDML	2	1	this study (sublimation)
1007.500	34.135	-6.52	0.021	0.42	0.006	Talos Dome	2	0	this study (sublimation)
1276.510	34.955	-6.49		0.36		EDML	1	0	this study (sublimation)
1018.860	35.134	-6.50		0.40		Talos Dome	1	0	this study (sublimation)
1288.485	35.625	-6.56		0.36		EDML	1	0	this study (sublimation)
